Bukinje,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,co,1009,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,o3,30.6,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,so2,186.5,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,pm25,94.6,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,no2,63.4,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,o3,8.7,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,co,1976,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,no2,26,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,pm25,123.2,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,co,2267,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,o3,9.6,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,so2,72.2,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,o3,13.1,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,so2,48.7,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,no2,45.6,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
US Diplomatic Post: Sarajevo,Sarajevo,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,pm25,77,µg/m³,43.856667,18.398205,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
BKC,Tuzla,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,o3,13.7,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,pm25,31.6,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
